Account Number,Balance
310652706382,803509.15
158345672780,Investment
238022940420,329629.17
224092400242,Savings
215888931692,308439.0
127191457128,Credit
199877141937,Investment
269820192176,963911.29
240802929937,510716.52
182585538878,688009.58
226443120400,555134.94
139718706348,Checking
213779286854,776652.52
459085914011,239118.68
127530133559,Investment
273503622970,Checking
101291437694,Savings
264926627092,26166.37
146091481882,972621.41
137017967590,Investment
188328617250,23317.66
259846061474,Checking
281234403245,274311.82
227520053244,753118.99
274559657149,838237.47
360912947464,300672.58
116693569853,469963.53
248371862179,Credit
782469997160,236119.99
270315709395,Checking
596320227714,Investment
298057419135,662526.63
189251365819,929833.8
277140164802,899005.81
208153697220,Savings
135988838847,194470.88
304018869593,139286.13
307457465423,71557.41
138623196616,Checking
800959276497,477395.18
234368671101,832281.92
425846082848,228108.52
973960088297,Savings
320289135856,Credit
281363899885,215308.86
339968468522,925470.2
133539529402,Checking
622836319000,Credit
309637680433,390558.26
813403042834,165252.17
176483527957,373102.33
100130775708,935775.06
817827450698,Credit
259706082861,856820.31
299716628651,95337.21
270118191084,814986.97
265890433516,452641.92
188896678801,704790.74
918571057459,Credit
307922958225,392485.39
296764996671,237498.5
275249398265,356001.95
269881870394,568820.99
304776052333,407992.7
821844593700,Investment
470251152043,964373.19
100761778393,433446.8
216408189719,257406.27
335074492172,Credit
196944392319,Investment
140580993900,801585.02
289302414808,Checking
196108552361,Checking
380260435001,874558.78
645976039620,247732.74
134190064498,361054.78
270085499678,Savings
317678038547,529890.37
312914661117,575168.38
227308367793,Investment
379423242384,Investment
326909126778,592022.74
290363814538,319464.21
303262352010,748561.04
248785918341,659066.02
195390219339,827350.65
298058654964,Investment
455420003829,889641.58
110081540093,Savings
842191494650,973733.29
199114276516,156603.71
123907266214,603463.78
331457070443,Savings
159539282605,Investment
263172000629,461513.17
394613740232,963658.21
286361309773,Checking
850878091173,799931.7
114640440077,917892.41
239263652685,567167.02
137316171348,Savings
299180417031,126743.22
206861979032,Investment
975575450728,750014.28
274136689526,539465.15
224596372752,Credit
148546385519,628142.54
214248677634,Credit
153548891254,272644.56
132171185092,705821.05
408687760261,255327.83
323627957078,Investment
139529658484,Credit
756180702306,13682.84
220936310392,470103.57
223085627175,587060.24
187858146645,177384.21
239472428852,Checking
101893661449,Investment
124533021198,437869.51
263905565804,409739.97
871093722707,56790.74
311682137116,714888.14
729279759059,27677.67
136966528919,45535.19
204166807430,254766.65
326775148683,Investment
208040417841,544142.45
242256366561,813346.52
925730071390,601020.72
321091979051,482694.49
337783953111,126972.18
289075214609,Credit
600168120026,Checking
112177458862,715039.44
861640166253,545726.28
166873314709,478852.37
180700051317,Checking
217930933820,378994.18
183257279634,Investment
440685378955,329701.85
307093242085,Checking
239609153889,632951.33
166395549728,208728.05
524739148634,440303.6
295100329230,Savings
444903729063,229022.94
339392831089,956639.77
792713814737,Checking
300241356174,774304.87
193607654609,746536.53
405031613521,Checking
187950743788,362716.68
789777508178,Credit
310425402172,449052.66
261163718765,192825.95
163994140633,Investment
219265141883,Investment
151150079473,548230.51
329494888388,351276.59
291796590223,119639.49
189435362285,112477.6
757626154055,Savings
206171843450,Checking
292829083103,Savings
839535830973,Credit
184237848413,Credit
120546012199,Checking
106485376947,722126.16
139631526803,304455.88
144226445664,Credit
190600647845,Investment
326181503997,Investment
114970180176,Checking
216513759680,670250.72
272251687380,912246.23
130083801708,Checking
150845144151,581830.37
306988356370,495142.35
258664874311,736758.73
335287885158,Investment
728581945634,Checking
625168903955,Investment
506865279896,240448.33
213507654370,Credit
164227157456,734329.32
290517027406,Checking
842320422873,Investment
760129399435,Investment
294387278709,155108.54
218984352979,226530.02
231288397642,21520.81
186975018646,946592.36
694243586456,967212.23
179467909904,504250.93
264647011633,Credit
199446945824,627976.18
217363965740,117061.46
107950487360,Savings
227955888348,28435.24
649190232588,910800.93
129494807537,196088.95
625292761960,Savings
943684338896,Credit
331992441319,103969.0
178547537224,130692.78
252416461601,52263.83
976165032914,865207.73
223791004658,77624.39
218828716982,920438.71
123674000713,Savings
619467723658,210034.46
159161635777,814422.33
323132134371,778492.07
190001380319,892274.93
260247347254,74624.49
959494407931,896480.43
107036419774,Investment
147977519511,605583.23
283875545128,669364.26
595232102056,283522.48
199777445637,460163.4
236970517223,153060.62
198285790118,Investment
236372467109,158141.02
581111113801,Savings
130226327160,30619.3
309764367695,483762.1
876894446740,Credit
168383189444,533752.61
770918056665,298306.7
216019464853,Savings
221311960153,Investment
193056940993,889229.33
879129097170,378543.76
947488273744,392328.98
316969229438,51060.72
168262388050,183884.42
124098764919,Savings
301891393890,Savings
216364039062,909106.31
245528796475,Investment
221007251136,609536.08
214976290650,403839.83
222920653379,166308.83
153058427137,Savings
324330244105,228260.66
338131635115,Credit
330468069160,746913.35
170568055144,984411.0
259433333377,869537.13
210432094975,337246.48
226815189432,17173.92
909142575563,705898.67
272373451755,Checking
247362846400,152367.21
118905357952,68171.98
598532545068,Credit
179364464786,779217.33
104814527518,86182.91
300815928893,483637.57
300877156169,Checking
594033126888,517153.82
727003976790,941430.46
107035306185,Credit
228045109529,360659.49
197516097902,Checking
314922421441,Savings
192342757929,995595.95
295663174354,Checking
271900807421,Checking
164180633033,163742.97
867407507573,709054.47
153075665911,81886.09
144236601134,Credit
243516300950,688790.89
603634032925,775913.18
265631208933,382331.32
250750446446,433225.25
312862727430,Checking
211018225879,560968.44
166810451520,172763.14
322365171147,72763.89
319782120106,914612.2
277346929654,637898.64
326959689186,28908.36
228870805699,Checking
185593198524,257332.95
195319790424,618197.3
314422602315,629293.45
123428355315,883553.36
451287755139,504039.92
323987256081,Credit
204978302852,674938.71
263409788108,964853.79
147578767408,295967.02
219732262797,Checking
242675504076,Investment
299989947686,563683.5
187598120339,Investment
155504133168,Checking
245020332261,320975.39
518166013942,Credit
334907392692,Checking
131432697166,406426.48
268590465128,Investment
112272270276,295263.77
283676322151,806000.7
487860569791,Checking
276582881246,696746.03
186340591447,340537.01
268063682274,882932.16
316990790205,105437.67
253416180850,788311.45
416395078037,936047.86
515781001262,324572.07
208453559848,71978.47
419748882537,Savings
878053721104,23898.53
631511987858,677775.2
117129547021,18574.35
117177017068,910523.34
998448228593,Credit
260825956873,Savings
188993470469,112463.57
451216662029,Checking
251520572414,Investment
302344501103,327469.28
679191291205,379112.92
127190414556,584425.44
249337677257,788445.27
308846491094,258789.0
466719043171,71865.94
215759223787,711961.6
314508084491,890210.78
339749088480,Credit
210549682474,Investment
298472198760,414758.49
256310087251,869537.19
746265471037,815053.49
121183148855,74758.89
160965067928,Savings
284018699660,672552.07
884699322259,Savings
133478676670,65091.17
256838696288,439888.74
304780095112,Credit
477372564604,349642.22
101796925942,81532.19
181806984548,Savings
207715022378,616708.93
278983298344,147613.13
234081487552,620313.09
677098425077,77994.07
898353933840,Checking
779306949406,72688.11
311860065729,870556.37
167153324809,396827.36
332898135381,451273.93
181525886295,Credit
168504455144,247846.2
694702579712,141864.78
197442844226,212511.2
741686634832,835345.89
159256364469,Investment
296710751615,Savings
318820629736,662907.68
147883938727,877712.12
735879817083,258292.21
316169603686,554145.55
592790672245,221729.85
267857125144,709923.41
425489949539,258446.55
139813177826,Investment
225345315331,443309.91
235934392818,787904.44
575511607069,319253.54
126173575213,Checking
271320729840,Savings
122741671621,Investment
113280354881,729960.98
102375028011,Checking
232761399170,Checking
130274144455,836456.19
813907514369,811723.93
185039328653,68993.62
306955957351,284195.5
307607005230,147371.77
252962339821,953500.55
306413189738,515959.04
224294025371,Investment
116996635328,530878.05
160007044955,Credit
257298356640,436242.79
250973983811,165760.65
864415765692,Credit
632047825261,Investment
284453021491,Investment
291433956338,379481.0
289974466657,715887.95
260071442874,110556.49
256134129190,225065.95
444308141150,Credit
124518461675,Credit
334923244139,847036.44
168183012742,Credit
211805345891,Credit
235272456336,Checking
169962959018,530214.47
294636504073,Investment
319707719293,558104.29
300013516985,764455.5
287845342024,209736.16
320289860665,Checking
114381801576,Checking
207286834146,456165.88
802669716855,123896.27
294419150048,Credit
130598661621,981407.2
307367983874,528469.8
308743842704,606061.49
305956403048,Checking
111707102495,282857.78
299022435317,459934.51
277352424563,Credit
170484547796,264913.31
540849347464,513712.65
105629920178,Investment
527130040735,22332.06
573979828163,165962.48
293233574034,968425.32
767219588061,Credit
325577486054,785755.51
212720355747,276279.57
124201014202,641095.04
259840518835,988178.38
328262411311,Checking
172679940488,828514.98
123312760509,35586.22
851428628090,386479.23
312093757770,708998.22
204021692124,568372.3
829399584764,966626.21
102924692270,Checking
660413308216,380732.51
317145851266,850147.98
162958092517,552783.45
173877896736,Credit
149867542275,313338.76
716028003189,868555.64
216344713352,Credit
134767832349,337103.75
282974247866,316998.44
831253193743,792784.42
323667162691,Checking
236358016666,250398.93
297939188301,Savings
205526968007,422367.93
376117683950,280059.1
136613504129,Credit
106280134490,905845.27
159468906872,Investment
136322599201,674951.26
146172919632,538029.9
171470554348,Savings
334507124454,569626.66
199171937071,Investment
205737720170,Savings
146583957729,27768.51
212544559374,698287.98
121732415184,920448.24
189858209798,Investment
672342668343,658940.12
334201389891,Credit
106120791473,737960.78
235656178356,16459.58
252834432926,958176.37
152151788535,997061.4
443018908713,979094.07
224070596523,757201.24
318613253596,Investment
322158191818,348772.88
105377825420,186411.75
967144999412,957526.91
281576902712,364241.05
327414149524,Credit
190481068608,325268.23
275132542863,138524.54
301511250847,451398.37
193907663529,54212.29
103149422151,15940.78
868298760568,Credit
248875195346,677264.6
738933940214,327436.83
178676439152,607499.11
131686391264,150242.96
138540956693,477187.57
165977070493,Investment
909735381541,150798.55
263201470678,374911.27
