Account Number,Balance
310652706382,803509.15
238022940420,329629.17
215888931692,308439.0
269820192176,963911.29
240802929937,510716.52
182585538878,688009.58
226443120400,555134.94
213779286854,776652.52
459085914011,239118.68
264926627092,26166.37
146091481882,972621.41
188328617250,23317.66
281234403245,274311.82
227520053244,753118.99
274559657149,838237.47
360912947464,300672.58
116693569853,469963.53
782469997160,236119.99
298057419135,662526.63
189251365819,929833.8
277140164802,899005.81
135988838847,194470.88
304018869593,139286.13
307457465423,71557.41
800959276497,477395.18
234368671101,832281.92
425846082848,228108.52
281363899885,215308.86
339968468522,925470.2
309637680433,390558.26
813403042834,165252.17
176483527957,373102.33
100130775708,935775.06
259706082861,856820.31
299716628651,95337.21
270118191084,814986.97
265890433516,452641.92
188896678801,704790.74
307922958225,392485.39
296764996671,237498.5
275249398265,356001.95
269881870394,568820.99
304776052333,407992.7
470251152043,964373.19
100761778393,433446.8
216408189719,257406.27
140580993900,801585.02
380260435001,874558.78
645976039620,247732.74
134190064498,361054.78
317678038547,529890.37
312914661117,575168.38
326909126778,592022.74
290363814538,319464.21
303262352010,748561.04
248785918341,659066.02
195390219339,827350.65
455420003829,889641.58
842191494650,973733.29
199114276516,156603.71
123907266214,603463.78
263172000629,461513.17
394613740232,963658.21
850878091173,799931.7
114640440077,917892.41
239263652685,567167.02
299180417031,126743.22
975575450728,750014.28
274136689526,539465.15
148546385519,628142.54
153548891254,272644.56
132171185092,705821.05
408687760261,255327.83
756180702306,13682.84
220936310392,470103.57
223085627175,587060.24
187858146645,177384.21
124533021198,437869.51
263905565804,409739.97
871093722707,56790.74
311682137116,714888.14
729279759059,27677.67
136966528919,45535.19
204166807430,254766.65
208040417841,544142.45
242256366561,813346.52
925730071390,601020.72
321091979051,482694.49
337783953111,126972.18
112177458862,715039.44
861640166253,545726.28
166873314709,478852.37
217930933820,378994.18
440685378955,329701.85
239609153889,632951.33
166395549728,208728.05
524739148634,440303.6
444903729063,229022.94
339392831089,956639.77
300241356174,774304.87
193607654609,746536.53
187950743788,362716.68
310425402172,449052.66
261163718765,192825.95
151150079473,548230.51
329494888388,351276.59
291796590223,119639.49
189435362285,112477.6
106485376947,722126.16
139631526803,304455.88
216513759680,670250.72
272251687380,912246.23
150845144151,581830.37
306988356370,495142.35
258664874311,736758.73
506865279896,240448.33
164227157456,734329.32
294387278709,155108.54
218984352979,226530.02
231288397642,21520.81
186975018646,946592.36
694243586456,967212.23
179467909904,504250.93
199446945824,627976.18
217363965740,117061.46
227955888348,28435.24
649190232588,910800.93
129494807537,196088.95
331992441319,103969.0
178547537224,130692.78
252416461601,52263.83
976165032914,865207.73
223791004658,77624.39
218828716982,920438.71
619467723658,210034.46
159161635777,814422.33
323132134371,778492.07
190001380319,892274.93
260247347254,74624.49
959494407931,896480.43
147977519511,605583.23
283875545128,669364.26
595232102056,283522.48
199777445637,460163.4
236970517223,153060.62
236372467109,158141.02
130226327160,30619.3
309764367695,483762.1
168383189444,533752.61
770918056665,298306.7
193056940993,889229.33
879129097170,378543.76
947488273744,392328.98
316969229438,51060.72
168262388050,183884.42
216364039062,909106.31
221007251136,609536.08
214976290650,403839.83
222920653379,166308.83
324330244105,228260.66
330468069160,746913.35
170568055144,984411.0
259433333377,869537.13
210432094975,337246.48
226815189432,17173.92
909142575563,705898.67
247362846400,152367.21
118905357952,68171.98
179364464786,779217.33
104814527518,86182.91
300815928893,483637.57
594033126888,517153.82
727003976790,941430.46
228045109529,360659.49
192342757929,995595.95
164180633033,163742.97
867407507573,709054.47
153075665911,81886.09
243516300950,688790.89
603634032925,775913.18
265631208933,382331.32
250750446446,433225.25
211018225879,560968.44
166810451520,172763.14
322365171147,72763.89
319782120106,914612.2
277346929654,637898.64
326959689186,28908.36
185593198524,257332.95
195319790424,618197.3
314422602315,629293.45
123428355315,883553.36
451287755139,504039.92
204978302852,674938.71
263409788108,964853.79
147578767408,295967.02
299989947686,563683.5
245020332261,320975.39
131432697166,406426.48
112272270276,295263.77
283676322151,806000.7
276582881246,696746.03
186340591447,340537.01
268063682274,882932.16
316990790205,105437.67
253416180850,788311.45
416395078037,936047.86
515781001262,324572.07
208453559848,71978.47
878053721104,23898.53
631511987858,677775.2
117129547021,18574.35
117177017068,910523.34
188993470469,112463.57
302344501103,327469.28
679191291205,379112.92
127190414556,584425.44
249337677257,788445.27
308846491094,258789.0
466719043171,71865.94
215759223787,711961.6
314508084491,890210.78
298472198760,414758.49
